,id,regular.code,is.pnl,is.margin,is.fitness,is.sharpe,train.pnl,train.margin,train.fitness,train.sharpe
261,adbevb1,"add(0.5156*-ts_co_skewness(vec_avg(nws12_afterhsz_mainvwap), vec_avg(nws12_mainz_mktcap), 60), 0.8851*-ts_vector_proj(unsystematic_risk_last_30_days, vec_avg(nws12_prez_rangeamt), 30), 0.5061*-ts_vector_neut(vec_avg(nws12_afterhsz_maxupamt), rp_nip_product, 250), 0.8454*-ts_theilsen(anl4_netdebt_number, vec_avg(nws12_prez_short_interest), 10), filter=True)",14746704,0.000377,0.49,1.14,7557407.0,0.000326,0.51,1.26
186,8zPbj57,"add(0.8238*-ts_corr(vec_avg(nws12_afterhsz_newrecord), rp_nip_assets, 10), 0.6307*ts_corr(news_ton_low, vec_avg(nws12_afterhsz_provider), 250), filter=True)",3695210,0.000478,0.56,1.14,2529841.0,0.000483,0.62,1.26
275,Ypbx2jv,"add(0.8897*-ts_theilsen(anl4_bvps_number, vec_avg(nws12_prez_div_y), 30), 0.1359*-ts_vector_neut(news_atr14, vec_avg(nws12_afterhsz_mov_vol), 250), 0.9246*-ts_corr(news_spy_close, vec_avg(nws12_mainz_rangeamt), 5), filter=True)",3933835,0.000119,0.3,1.22,2532836.0,0.000111,0.3,1.26
301,eO9aX2p,"-ts_vector_proj(news_session_range_pct, vec_avg(nws12_afterhsz_rangestddev), 60)",14898396,0.000227,0.5,1.49,8123441.0,0.000164,0.36,1.25
210,roOxGm9,"add(0.5978*ts_delta(vec_avg(nws18_bam), 30), 0.0646*-regression_neut(news_range_stddev, vec_avg(nws12_mainz_mov_vol)), filter=True)",7000606,8.6e-05,0.3,1.46,3372985.0,5.9e-05,0.22,1.25
542,Mp1q8ma,"-ts_vector_proj(news_low_exc_stddev, vec_avg(nws12_prez_volstddev), 60)",14023962,0.000206,0.46,1.44,8486909.0,0.000165,0.36,1.25
112,Ew6K7rP,"add(0.9633*-ts_covariance(vec_avg(anl4_basicconqfv110_numest), anl4_totgw_number, 250), 0.5334*-ts_vector_neut(news_session_range_pct, vec_avg(nws12_mainz_rangeamt), 10), 0.5617*-ts_corr(vec_avg(nws12_afterhsz_newrecord), rp_nip_assets, 10), filter=True)",4005409,0.000392,0.53,1.2,2442376.0,0.00033,0.5,1.24
375,dxb120j,"-regression_neut(vec_avg(nws12_afterhsz_eodhigh), vec_avg(nws12_afterhsz_tonlast))",17311981,0.000235,0.5,1.45,10065453.0,0.000182,0.37,1.24
4,g1bbq3Q,#NAME?,24438098,0.000354,0.61,1.46,14445221.0,0.000288,0.47,1.24
103,8zRLw2a,"add(0.9039*-ts_vector_neut(vec_avg(nws12_afterhsz_maxupamt), vec_avg(nws12_mainz_eodhigh), 30), 0.1774*ts_vector_proj(news_pct_60min, vec_avg(nws12_prez_120_min), 10), filter=True)",15446277,0.00021,0.37,1.13,12379002.0,0.000226,0.42,1.24
160,dx1V35j,"add(0.3373*ts_corr(implied_volatility_call_60, parkinson_volatility_150, 5), 0.6187*-ts_co_skewness(correlation_last_60_days_spy, vec_avg(nws12_afterhsz_eodclose), 180), 0.8809*ts_rank(implied_volatility_put_30, 5), filter=True)",6241104,0.000136,0.39,1.51,2814735.0,8.6e-05,0.26,1.24
408,eObGzWl,"-ts_vector_neut(news_session_range_pct, vec_avg(nws12_prez_eodclose), 250)",39038776,0.00052,0.84,1.64,18904127.0,0.000351,0.52,1.23
214,Wpb5oaP,"add(0.4588*ts_corr(vec_avg(anl4_basicdetaillt_estvalue), vec_avg(anl4_dez1basicqfv4v104_est), 30), 0.222*ts_vector_proj(implied_volatility_mean_20, implied_volatility_mean_skew_90, 250), filter=True)",13543908,0.000821,0.61,0.96,2561998.0,0.000288,0.47,1.23
470,KbNVV1k,"add(0.0348*-ts_covariance(systematic_risk_last_60_days, vec_avg(nws12_afterhsz_prevclose), 30), 0.8007*ts_entropy(news_atr_ratio, 60), 0.3933*ts_covariance(vec_avg(nws12_prez_provider), rp_nip_revenue, 180), filter=True)",3392872,0.000525,0.59,1.16,2287985.0,0.000501,0.62,1.23
349,AwvaLmX,"add(0.3746*-ts_vector_proj(vec_avg(nws12_afterhsz_volstddev), vec_avg(nws12_prez_mov_vol), 5), 0.6176*-ts_corr(vec_avg(nws12_mainz_result2), rp_nip_credit_ratings, 5), filter=True)",6940048,0.000174,0.39,1.31,4030255.0,0.000133,0.31,1.22
5,xx3P7NW,#NAME?,16104812,0.000223,0.49,1.46,9130656.0,0.000166,0.35,1.22
242,m8m0dQp,"add(0.0853*-ts_corr(news_atr14, news_atr_ratio, 10), 0.0888*-ts_vector_proj(news_max_dn_ret, news_ton_last, 30), filter=True)",6922683,0.000185,0.33,1.1,3770842.0,0.000144,0.33,1.22
536,Oprkxjb,"-min(anl4_qf_az_dts_spe, vec_avg(nws12_afterhsz_result_vs_index))",22852644,0.000716,0.69,1.16,13858359.0,0.000668,0.7,1.22
262,ZpbXJv3,"add(0.7043*-ts_skewness(vec_avg(anl4_dei3lqfv110_item), 250), 0.7376*-ts_max_diff(vec_avg(nws12_afterhsz_30_min), 5), 0.3667*ts_vector_neut(call_breakeven_270, option_breakeven_10, 5), 0.7772*ts_zscore(implied_volatility_put_30, 60), filter=True)",4933888,0.000157,0.29,1.03,3236114.0,0.000152,0.34,1.22
176,JpQwmYO,"add(0.5233*-ts_vector_proj(beta_last_360_days_spy, vec_avg(nws12_afterhsz_lowexcstddev), 60), 0.0297*-max(news_mins_10_pct_up, vec_avg(nws12_mainz_3l)), filter=True)",16984365,0.000249,0.44,1.25,10137455.0,0.000213,0.4,1.21
277,xx31Q6W,"add(0.3761*-ts_corr(vec_avg(nws12_mainz_spylast), rp_nip_assets, 10), 0.074*-ts_vector_proj(vec_avg(nws12_mainz_maxdown), vec_avg(nws12_prez_result1), 5), 0.9164*-zscore(news_range_stddev), filter=True)",9779934,0.000144,0.47,1.77,3426415.0,7.2e-05,0.23,1.21
188,6wK7X7K,"add(0.9574*-ts_vector_neut(news_max_up_ret, vec_avg(nws12_mainz_newrecord), 60), 0.3087*-ts_corr(vec_avg(anl4_dei2laf_item), vec_avg(anl4_fsdtlestmtbscv104_item), 10), filter=True)",17294693,0.000236,0.45,1.3,8629954.0,0.000161,0.34,1.21
378,vLrj5Pz,"ts_co_skewness(vec_avg(nws12_prez_maxup), rp_nip_insider, 5)",16433911,0.00032,0.46,1.15,13672508.0,0.000374,0.52,1.21
390,LpK38jM,"-ts_corr(news_max_up_amt, vec_avg(nws12_mainz_newrecord), 30)",3870113,0.000443,0.52,1.1,2925481.0,0.000478,0.59,1.21
187,wRbqa2Q,"add(0.4566*ts_corr(vec_avg(nws12_prez_eodclose), vec_avg(nws12_prez_prevclose), 250), 0.6947*-ts_vector_neut(news_indx_perf, news_open_gap, 5), filter=True)",13901720,0.000253,0.35,0.98,8618868.0,0.000227,0.4,1.2
130,vLOj7Gr,"-ts_vector_proj(news_mins_10_pct_dn, vec_avg(nws12_prez_2s), 5)",52235282,0.000948,0.8,1.16,39151024.0,0.000964,0.83,1.2
352,QaKlveG,"add(0.7761*ts_vector_proj(rp_ess_business, rp_ess_ratings, 180), 0.2539*-regression_proj(news_range_stddev, vec_avg(nws12_prez_highexcstddev)), filter=True)",9006733,0.000126,0.36,1.45,5131297.0,9.9e-05,0.27,1.2
336,Mp6bOwz,"add(0.7199*-max(news_mins_10_pct_up, vec_avg(nws12_mainz_3l)), 0.3538*-regression_neut(news_range_stddev, vec_avg(nws12_prez_prevwap)), filter=True)",19006245,0.000242,0.45,1.29,11136234.0,0.0002,0.38,1.2
156,AwvMGQd,"add(0.129*ts_co_skewness(est_epsr, est_tot_assets, 5), 0.1888*-ts_vector_neut(news_session_range_pct, adv20, 30), filter=True)",25301560,0.000345,0.63,1.52,11929052.0,0.000232,0.41,1.19
461,Rpb9mJj,"add(0.9881*-ts_vector_proj(vec_avg(nws12_prez_02p), vec_avg(nws12_prez_1p), 5), 0.7553*-ts_vector_proj(anl4_qf_az_dts_spe, vec_avg(nws12_prez_short_interest), 5), 0.2413*-ts_vector_neut(news_max_dn_ret, rp_nip_inverstor, 30), 0.833*ts_corr(vec_avg(nws12_afterhsz_eodclose), vec_avg(nws12_prez_mainvwap), 250), filter=True)",24933911,0.000701,0.74,1.25,12942493.0,0.000517,0.61,1.19
74,ro7vLkd,"add(0.0101*ts_co_skewness(vec_avg(anl4_mark), vec_avg(scl12_alltype_sentvec), 30), 0.6101*-ts_theilsen(vec_avg(anl4_eaz2lafv110_bk), vec_avg(anl4_eaz2lqfv110_person), 60), filter=True)",11657546,0.00121,0.79,1.02,8006603.0,0.001006,0.84,1.18
305,KbOJbVk,"ts_vector_neut(systematic_risk_last_360_days, vec_avg(nws12_afterhsz_curr_vol), 30)",9376652,0.000144,0.33,1.21,5760625.0,0.000117,0.29,1.18
467,roO9Qm8,"add(0.2777*-min(vec_avg(anl4_basicconltv110_pu), vec_avg(nws12_mainz_result_vs_index)), 0.9092*-regression_neut(vec_avg(nws12_mainz_rangestddev), vec_avg(nws12_prez_allticks)), 0.1752*-min(news_atr_ratio, vec_avg(nws12_afterhsz_reportsess)), 0.4908*-ts_vector_proj(vec_avg(nws12_prez_02l), vec_avg(nws12_prez_1s), 5), filter=True)",8124082,0.000108,0.26,1.13,4923236.0,9.2e-05,0.25,1.18
27,ZpAPYk8,#NAME?,13304003,0.000183,0.3,0.98,8318464.0,0.000162,0.34,1.18
19,GwbndPZ,"ts_vector_neut(implied_volatility_call_1080, implied_volatility_put_360, 30)",8161100,0.000144,0.29,1.09,6088531.0,0.000147,0.32,1.18
481,Gwbd9dJ,"add(0.548*-ts_vector_proj(news_prev_day_ret, news_tot_ticks, 250), 0.558*max(vec_avg(nws12_mainz_02l), vec_avg(nws12_mainz_5s)), 0.8896*-ts_vector_neut(anl4_netprofit_flag, anl4_tbvps_number, 250), filter=True)",3632428,0.000245,0.43,1.24,2042736.0,0.000224,0.39,1.17
387,bLx2dzM,"add(0.4641*-ts_vector_neut(news_range_stddev, vec_avg(nws12_prez_prevwap), 30), 0.0425*ts_covariance(vec_avg(nws12_prez_result1), rp_nip_technical, 250), filter=True)",13732830,0.000188,0.55,1.8,5200066.0,0.000103,0.27,1.17
85,m8oVwp6,"add(0.0728*ts_co_skewness(systematic_risk_last_90_days, unsystematic_risk_last_60_days, 10), 0.0367*-ts_vector_neut(vec_avg(nws12_afterhsz_result_vs_index), vec_avg(nws18_ghc_lna), 30), filter=True)",4528031,0.000126,0.27,1.09,2855716.0,0.000115,0.28,1.17
280,8zjvoPm,"add(0.3838*ts_entropy(news_open_vol, 10), 0.8594*-regression_neut(news_high_exc_stddev, vec_avg(nws12_afterhsz_mktcap)), 0.3309*ts_corr(vec_avg(nws12_afterhsz_mktcap), vwap, 250), filter=True)",4489114,0.000262,0.34,0.94,2669132.0,0.000221,0.39,1.16
439,jZAnAvQ,"-max(vec_avg(nws12_afterhsz_rangestddev), returns)",11975824,0.000253,0.51,1.43,6315407.0,0.000178,0.35,1.16
159,dx1VMwK,"add(0.2214*-ts_corr(news_eod_high, vec_avg(nws12_prez_tonhigh), 10), 0.2*regression_proj(correlation_last_360_days_spy, vec_avg(nws12_afterhsz_range)), 0.5095*ts_vector_proj(correlation_last_360_days_spy, news_prev_vol, 5), filter=True)",5083858,0.00012,0.28,1.16,3027708.0,0.000102,0.26,1.16
483,RpbVz00,"add(0.3571*-ts_corr(vec_avg(anl4_ads1detailqfv110_estvalue), vec_avg(anl4_fsguidanceafv4_maxguidance), 250), 0.3356*-ts_vector_proj(news_max_up_ret, vec_avg(nws12_afterhsz_maxup), 250), 0.4809*-ts_vector_proj(anl4_qf_az_dts_spe, anl4_qfd1_azeps, 180), filter=True)",17327504,0.000953,0.86,1.25,7199990.0,0.000644,0.66,1.16
137,eOQeOlE,"-ts_vector_neut(news_range_stddev, vec_avg(nws12_prez_postvwap), 250)",17687680,0.000223,0.62,1.86,6969015.0,0.000124,0.29,1.16
62,p6aQeag,"add(0.0585*ts_vector_neut(vec_avg(nws18_sse), vec_avg(scl12_alltype_buzzvec), 180), 0.3337*-ts_co_skewness(anl4_capex_value, news_indx_perf, 30), filter=True)",3563869,0.000118,0.24,1.0,2432917.0,0.000109,0.27,1.16
143,ngPbpYd,"add(0.993*-min(vec_avg(anl4_ady_pu), anl4_qfd1_az_dts_spe), 0.4615*-ts_kurtosis(vec_avg(nws12_mainz_1l), 10), filter=True)",12756315,0.000404,0.44,0.97,7851869.0,0.000361,0.49,1.15
145,EwRJP7J,"add(0.0786*ts_vector_proj(vec_avg(nws18_bam), rp_css_mna, 10), 0.5317*-ts_vector_neut(vec_avg(nws12_afterhsz_volstddev), vec_avg(nws12_mainz_atrratio), 180), filter=True)",9347921,0.000126,0.35,1.4,5061194.0,9.4e-05,0.25,1.15
123,OpAP97J,"-ts_vector_neut(news_range_stddev, vec_avg(nws12_prez_prevwap), 30)",15993888,0.000201,0.58,1.84,6151318.0,0.000109,0.27,1.15
139,Rp6Xarb,"add(0.4016*-ts_vector_proj(news_mins_4_pct_up, vec_avg(nws12_prez_4l), 60), 0.0008*-ts_co_skewness(vec_avg(nws12_prez_mov_vol), returns, 180), 0.587*-ts_corr(vec_avg(nws12_afterhsz_41rta), vec_avg(nws12_mainz_prevday), 250), filter=True)",20249523,0.000689,0.62,1.05,14031824.0,0.000706,0.68,1.15
180,XpJGA9b,"add(0.2938*-ts_vector_neut(historical_volatility_20, implied_volatility_mean_skew_270, 10), 0.7508*ts_co_skewness(systematic_risk_last_90_days, unsystematic_risk_last_60_days, 10), filter=True)",4232150,0.000121,0.24,0.97,2776756.0,0.000114,0.27,1.14
357,QaKjNLp,"-ts_vector_neut(vec_avg(nws12_afterhsz_highexcstddev), vec_avg(nws12_prez_dayopen), 60)",17308482,0.000241,0.49,1.42,10391741.0,0.000191,0.35,1.14
359,AwvYoWX,"-ts_vector_proj(news_mins_10_pct_dn, vec_avg(nws12_prez_5l), 5)",78641853,0.001706,0.95,1.03,57781591.0,0.001786,1.08,1.14
282,JpNQEke,"add(0.0845*ts_vector_proj(news_eod_close, vec_avg(nws12_afterhsz_prevwap), 30), 0.3351*-ts_vector_proj(news_mins_4_pct_dn, news_mins_7_5_pct_up, 5), 0.3214*-ts_co_skewness(vec_avg(nws12_prez_prev_vol), open, 30), filter=True)",23432265,0.000603,0.86,1.56,9012187.0,0.000307,0.45,1.14
340,Kbrnoxl,"add(0.9852*-ts_vector_neut(news_session_range_pct, vec_avg(nws12_prez_reportsess), 60), 0.4601*-ts_corr(anl4_bvps_flag, news_eps_actual, 180), filter=True)",18146003,0.000482,0.71,1.44,7253638.0,0.000289,0.43,1.14
236,17XPEN6,"add(0.1805*-max(news_mins_3_pct_up, vec_avg(nws12_prez_4l)), 0.1715*-ts_co_skewness(anl4_netprofita_value, anl4_ptpr_mean, 60), 0.7399*-ts_covariance(anl4_rd_exp_number, split, 10), 0.9037*-ts_corr(vec_avg(anl4_bac1conqfv110_item), vec_avg(anl4_cuo1conafv110_item), 180), filter=True)",11498238,0.000251,0.37,1.04,7323148.0,0.000227,0.38,1.14
385,XpNwM8a,"add(0.2829*-ts_co_skewness(vec_avg(nws12_prez_allticks), vec_avg(nws12_prez_dayopen), 5), 0.7864*-ts_vector_proj(news_mins_5_chg, vec_avg(nws12_prez_4p), 180), filter=True)",28611650,0.000605,0.66,1.2,20204356.0,0.000573,0.61,1.14
420,27jXdZ5,"ts_vector_neut(vec_avg(nws12_mainz_5s), vec_avg(nws12_prez_2l), 180)",79828611,0.000877,0.81,1.23,57529092.0,0.000909,0.77,1.14
379,ngdOjkl,"-regression_proj(news_high_exc_stddev, vec_avg(nws12_prez_lowexcstddev))",14372232,0.000195,0.45,1.44,8482249.0,0.000153,0.32,1.14
327,LpKngK1,"add(0.2913*-ts_corr(anl4_bvps_flag, news_eps_actual, 180), 0.4984*-ts_corr(vec_avg(anl4_adxqfv110_pu), vec_avg(anl4_basicconafv110_numest), 30), filter=True)",3044033,0.000391,0.48,1.09,1846552.0,0.000357,0.48,1.14
318,m8aXJkp,"add(0.9251*-ts_corr(vec_avg(nws12_afterhsz_maxup), vec_avg(nws12_mainz_tonlow), 10), 0.194*-ts_co_skewness(correlation_last_90_days_spy, news_session_range, 250), filter=True)",3983609,0.000273,0.47,1.27,2280347.0,0.000237,0.39,1.13
132,g1W8AxQ,"ts_ir(vec_avg(nws12_prez_sl), 180)",3612459,0.001493,0.53,0.99,2402075.0,0.001557,0.59,1.13
52,17G19GR,"add(0.9458*-ts_zscore(forward_price_180, 10), 0.2634*ts_av_diff(rp_ess_revenue, 250), filter=True)",10453567,0.000284,0.41,1.1,5252098.0,0.000207,0.36,1.13
0,lVKb8mO,#NAME?,14402281,0.000171,0.47,1.6,6653365.0,0.00011,0.26,1.13
466,k3ovbLK,"add(0.6307*-ts_corr(vec_avg(nws12_afterhsz_mktcap), vec_avg(nws12_mainz_eodclose), 30), 0.0161*ts_vector_proj(anl4_netdebt_flag, news_dividend_yield, 180), 0.8417*-ts_corr(vec_avg(nws12_afterhsz_peratio), vec_avg(nws12_mainz_prev_vol), 5), 0.0694*ts_covariance(vec_avg(anl4_basicconqfv110_numest), anl4_tbvps_median, 250), filter=True)",9914052,0.000324,0.34,0.85,1663494.0,7.2e-05,0.21,1.13
427,roOxrLa,"add(0.395*-ts_vector_neut(anl4_qfd1_az_dts_spe, anl4_tot_gw_ft, 5), 0.9468*-ts_vector_proj(vec_avg(nws12_prez_02p), vec_avg(nws12_prez_1p), 5), filter=True)",44631983,0.001352,0.95,1.16,28101597.0,0.001263,0.9,1.13
534,z9YPGnR,"-ts_vector_proj(vec_avg(nws12_mainz_57l), vec_avg(nws12_prez_02l), 30)",80303352,0.004439,1.59,1.07,44807924.0,0.005101,1.8,1.13
211,qAxRYRK,"add(0.8467*-ts_theilsen(vec_avg(nws12_mainz_mainvwap), vec_avg(nws12_prez_dayopen), 180), 0.9186*-ts_vector_proj(news_mins_4_pct_dn, news_mins_7_5_pct_up, 5), filter=True)",71864312,0.001514,1.56,1.79,23850103.0,0.000832,0.73,1.13
465,xx3VQAl,"add(0.9909*-ts_covariance(vec_avg(nws12_mainz_120_min), vec_avg(nws12_mainz_60_min), 250), 0.7347*-ts_vector_proj(news_mins_3_pct_up, vec_avg(nws12_prez_4l), 250), 0.5537*-ts_vector_neut(historical_volatility_120, implied_volatility_mean_30, 60), 0.864*-ts_co_skewness(vec_avg(nws12_afterhsz_maxup), rp_nip_equity, 180), filter=True)",18961404,0.000743,0.76,1.25,10663259.0,0.000649,0.64,1.13
2,bLblNlq,"add(0.9895*-ts_vector_neut(vec_avg(nws12_afterhsz_maxupamt), vec_avg(nws12_prez_tonhigh), 180), 0.5651*ts_av_diff(implied_volatility_mean_90, 60), filter=True)",18356642,0.000425,0.69,1.49,9289051.0,0.00031,0.44,1.12
279,adbVZ31,"add(0.1125*-ts_theilsen(anl4_ebit_value, anl4_median_epsreported, 60), 0.42*ts_co_skewness(anl4_ptp_mean, anl4_ptp_value, 180), 0.485*-ts_vector_proj(vec_avg(nws12_prez_maxdown), vec_avg(nws12_prez_tonlow), 60), filter=True)",5820849,0.000448,0.4,0.84,3085742.0,0.000384,0.49,1.11
296,k3VObA8,"regression_neut(news_mins_1_pct_dn, vec_avg(nws12_prez_1l))",24938138,0.000281,0.41,1.09,19808471.0,0.000313,0.44,1.11
56,ng6ka6w,"add(0.4063*regression_proj(correlation_last_360_days_spy, vec_avg(nws12_afterhsz_range)), 0.3981*ts_covariance(vec_avg(nws12_afterhsz_result1), rp_nip_credit_ratings, 5), filter=True)",18989210,0.000291,0.41,1.08,12293312.0,0.000249,0.39,1.11
306,vLkLQwQ,"-ts_vector_proj(unsystematic_risk_last_60_days, news_atr_ratio, 180)",13369195,0.000191,0.31,0.99,8743553.0,0.000179,0.33,1.11
377,6wjl2ZG,"-ts_vector_proj(vec_avg(nws12_afterhsz_1p), vec_avg(nws12_prez_02p), 250)",98104133,0.004318,1.73,1.18,55874945.0,0.004602,1.68,1.11
265,37Xjm5Z,"add(0.4294*-ts_vector_neut(news_low_exc_stddev, news_vol_stddev, 10), 0.4714*-ts_co_skewness(anl4_cff_value, anl4_qf_az_cfps_mean, 30), 0.1641*ts_vector_proj(vec_avg(anl4_fsgdncbscv4_maxguidance), vec_avg(anl4_fsguidanceqfv4_minguidance), 180), filter=True)",6301491,0.000164,0.41,1.42,2807797.0,0.0001,0.25,1.11
107,lVA0GKe,"add(0.9776*-max(vec_avg(nws12_afterhsz_highexcstddev), vec_avg(nws12_afterhsz_rangestddev)), 0.0946*-ts_vector_proj(vec_avg(nws12_mainz_3l), vec_avg(nws12_prez_4s), 5), filter=True)",16379153,0.000251,0.46,1.31,9022436.0,0.000183,0.34,1.11
226,qAxRvnK,"add(0.4677*-ts_corr(anl4_capex_value, est_bookvalue_ps, 10), 0.375*-ts_vector_neut(vec_avg(anl4_eaz2lrec_ratingvalue), rp_css_credit, 250), filter=True)",13658908,0.000665,0.67,1.16,7553799.0,0.00054,0.58,1.11
59,7wGqZJQ,"add(0.4049*-ts_corr(vec_avg(nws12_afterhsz_tonlast), rp_nip_marketing, 60), 0.7498*-ts_covariance(vec_avg(anl4_basicconqfv110_numest), anl4_totgw_number, 250), filter=True)",4176053,0.00142,0.62,1.08,2486998.0,0.001256,0.58,1.1
362,ngPwrb3,"-ts_zscore(put_breakeven_60, 5)",8344051,0.00018,0.37,1.22,3996841.0,0.000122,0.27,1.1
49,adRM3b5,"add(0.0452*regression_proj(anl4_bvps_mean, dividend), 0.9631*-ts_corr(vec_avg(nws12_afterhsz_curr_vol), vec_avg(nws12_mainz_mov_vol), 10), filter=True)",4235286,0.00019,0.46,1.5,1938175.0,0.000128,0.28,1.1
152,dx1ArYX,"add(0.0135*-ts_vector_proj(news_mins_7_5_pct_up, vec_avg(nws12_prez_1l), 30), 0.1516*ts_rank(vec_avg(nws12_prez_result2), 30), filter=True)",25046281,0.00037,0.46,1.06,18002508.0,0.000354,0.46,1.1
325,k3anKgL,"add(0.4734*-ts_vector_proj(news_mins_7_5_pct_up, vec_avg(nws12_prez_01l), 60), 0.5319*ts_covariance(news_max_dn_amt, vec_avg(nws12_allz_result1), 250), filter=True)",19266669,0.001994,1.01,1.01,10350285.0,0.002009,1.1,1.1
537,WpPdgbG,"-max(news_max_up_ret, vec_avg(nws12_mainz_maxupamt))",18516012,0.000246,0.52,1.48,8220300.0,0.000152,0.3,1.1
113,bL6vwa6,"add(0.6331*-ts_co_skewness(systematic_risk_last_60_days, vec_avg(nws12_prez_prevclose), 180), 0.3678*-ts_corr(beta_last_60_days_spy, vec_avg(nws12_mainz_rangeamt), 5), 0.6575*-ts_vector_neut(vec_avg(nws12_afterhsz_volstddev), vec_avg(nws12_prez_open_vol), 30), filter=True)",4112928,0.000139,0.23,0.86,2331044.0,0.000109,0.25,1.09
201,EwpdnQP,"add(0.8789*ts_vector_neut(call_breakeven_270, option_breakeven_10, 5), 0.7469*-ts_vector_neut(vec_avg(nws12_afterhsz_4p), vec_avg(nws12_mainz_4p), 10), filter=True)",6552425,0.000142,0.28,1.07,3890421.0,0.000119,0.27,1.09
342,37V6Ojg,"add(0.4886*-regression_neut(news_ls, forward_price_60), 0.8584*-ts_corr(fscore_surface_accel, vec_avg(nws18_acb), 250), filter=True)",3232954,6.4e-05,0.18,1.01,2003936.0,5.7e-05,0.18,1.09
343,eOQ2P06,"add(0.1562*-ts_vector_proj(anl4_netprofit_number, dividend, 10), 0.1196*-ts_vector_neut(historical_volatility_180, implied_volatility_call_270, 250), filter=True)",7803173,0.000208,0.33,1.02,4422568.0,0.000156,0.3,1.09
15,dx1kY5g,#NAME?,16010287,0.000221,0.4,1.19,8755530.0,0.000161,0.31,1.09
438,WpbpP9N,"-ts_co_skewness(vec_avg(nws12_afterhsz_prevday), vec_avg(nws12_mainz_mktcap), 10)",11892745,0.000317,0.37,0.93,5298430.0,0.000211,0.35,1.09
20,27wv0YY,#NAME?,9170344,0.000209,0.35,1.08,5497879.0,0.00018,0.32,1.08
278,eOb6RVE,"add(0.6328*-ts_vector_neut(news_indx_perf, news_open_gap, 5), 0.8835*ts_co_skewness(vec_avg(anl4_ady_numest), anl4_capex_flag, 250), 0.4024*-ts_vector_neut(fscore_surface, vec_avg(nws18_ssc), 10), filter=True)",9046918,0.000179,0.33,1.1,4894165.0,0.000122,0.27,1.08
288,AwN0kWR,"-max(news_eod_close, vec_avg(nws12_prez_allticks))",25016358,0.000456,0.5,1.05,7655180.0,0.000183,0.33,1.08
329,LpKnbZm,"add(0.8614*ts_vector_neut(systematic_risk_last_90_days, vec_avg(nws12_afterhsz_close_vol), 30), 0.5859*-ts_vector_proj(vec_avg(nws12_afterhsz_volstddev), vec_avg(nws12_prez_mov_vol), 5), filter=True)",12155062,0.000239,0.38,1.09,6902591.0,0.000168,0.31,1.08
368,jZ85v1Q,"-ts_vector_neut(anl4_qfd1_az_dts_spe, est_dividend_ps, 5)",19939780,0.009522,1.21,0.96,12832345.0,0.008511,1.3,1.08
300,GwdXwNo,"-ts_theilsen(vec_avg(nws12_mainz_mainvwap), vec_avg(nws12_prez_dayopen), 180)",5786558,0.002502,1.0,1.27,4436259.0,0.001966,0.77,1.08
14,xxbOoAJ,#NAME?,15662178,0.000219,0.4,1.2,10206909.0,0.00019,0.33,1.08
142,Mp3ARN6,"add(0.7454*ts_vector_proj(implied_volatility_mean_30, implied_volatility_mean_skew_90, 180), 0.9684*-ts_vector_proj(news_mins_7_5_pct_dn, vec_avg(nws12_prez_2s), 30), filter=True)",30534897,0.000643,0.72,1.27,17111440.0,0.000474,0.53,1.08
229,8zjwA0v,"add(0.9963*ts_vector_neut(anl4_epsr_value, anl4_rd_exp_flag, 5), 0.3496*-ts_corr(anl4_flag_erbfintax, anl4_totassets_std, 60), filter=True)",16417220,0.001593,0.93,1.04,10622506.0,0.001538,0.95,1.08
428,Xpb9W2l,"-min(anl4_tot_gw_ft, est_bookvalue_ps)",11618599,0.029832,0.99,1.03,4576645.0,0.01795,0.78,1.08
63,Zpak2Z8,"add(0.0989*ts_vector_proj(vec_avg(anl4_fsgdncbscv4_maxguidance), vec_avg(anl4_fsguidanceqfv4_minguidance), 180), 0.6507*-ts_corr(vec_avg(nws12_afterhsz_curr_vol), vec_avg(nws12_mainz_mov_vol), 10), filter=True)",3603406,0.000204,0.43,1.36,1818558.0,0.000151,0.3,1.08
464,k3ovQWk,"add(0.8681*regression_proj(anl4_bvps_mean, dividend), 0.3871*-ts_corr(anl4_ptpr_high, anl4_totgw_median, 180), 0.3931*ts_corr(vec_avg(nws12_prez_spyclose), vwap, 250), 0.5864*-ts_corr(vec_avg(anl4_ads1detailqfv110_estvalue), vec_avg(anl4_fsguidanceafv4_maxguidance), 250), filter=True)",7069093,0.00011,0.34,1.47,3272289.0,7.5e-05,0.21,1.08
442,37XEMg6,"-ts_vector_neut(vec_avg(nws12_afterhsz_rangestddev), open, 180)",12720794,0.000185,0.42,1.38,6927080.0,0.000133,0.28,1.08
310,bLaLmOr,"add(0.9288*-ts_vector_proj(news_mins_4_pct_up, vec_avg(nws12_prez_4l), 60), 0.0651*-ts_covariance(vec_avg(anl4_basicconqfv110_pu), anl4_tbvps_median, 180), filter=True)",33959344,0.000884,0.68,1.03,26252879.0,0.0009,0.72,1.08
344,XpJlOJ5,"add(0.2054*-ts_corr(vec_avg(anl4_fsdtlestmtbscqv104_item), vec_avg(anl4_fsguidanceqfv4_item), 180), 0.2308*-regression_proj(vec_avg(nws12_afterhsz_open_vol), vec_avg(nws12_afterhsz_volstddev)), filter=True)",10107476,0.000545,0.6,1.14,3997609.0,0.000224,0.36,1.07
